,genres,playtime_forever,ranking
0,Action,3070177095,1
1,Indie,1475182802,2
2,RPG,1027647746,3
3,Adventure,893956775,4
4,Simulation,855259647,5
5,Strategy,650791255,6
6,Free to Play,603566180,7
7,Massively Multiplayer,441043361,8
8,Casual,249109436,9
9,Early Access,156684032,10
10,Sports,64909264,11
11,Racing,62978839,12
12,Utilities,4473704,13
13,Design &amp; Illustration,4075534,14
14,Web Publishing,2760751,15
15,Video Production,2387840,16
16,Animation &amp; Modeling,1994171,17
17,Software Training,559988,18
18,Audio Production,545201,19
19,Education,412955,20
20,Photo Editing,114502,21
